item_id,layer,source_split,primary_trait,activation_path,hidden_dim,token_position,model_name
commonsense_test_000032,32,commonsense,harmlessness,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/ethics_projection/activations/commonsense_test_000032_layer32.npy,3840,last_prompt_token,google/gemma-3-12b-it
commonsense_test_000032,40,commonsense,harmlessness,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/ethics_projection/activations/commonsense_test_000032_layer40.npy,3840,last_prompt_token,google/gemma-3-12b-it
commonsense_test_000032,47,commonsense,harmlessness,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/ethics_projection/activations/commonsense_test_000032_layer47.npy,3840,last_prompt_token,google/gemma-3-12b-it
commonsense_test_000211,32,commonsense,harmlessness,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/ethics_projection/activations/commonsense_test_000211_layer32.npy,3840,last_prompt_token,google/gemma-3-12b-it
commonsense_test_000211,40,commonsense,harmlessness,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/ethics_projection/activations/commonsense_test_000211_layer40.npy,3840,last_prompt_token,google/gemma-3-12b-it
commonsense_test_000211,47,commonsense,harmlessness,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/ethics_projection/activations/commonsense_test_000211_layer47.npy,3840,last_prompt_token,google/gemma-3-12b-it
commonsense_test_000229,32,commonsense,honesty,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/ethics_projection/activations/commonsense_test_000229_layer32.npy,3840,last_prompt_token,google/gemma-3-12b-it
commonsense_test_000229,40,commonsense,honesty,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/ethics_projection/activations/commonsense_test_000229_layer40.npy,3840,last_prompt_token,google/gemma-3-12b-it
commonsense_test_000229,47,commonsense,honesty,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/ethics_projection/activations/commonsense_test_000229_layer47.npy,3840,last_prompt_token,google/gemma-3-12b-it
commonsense_test_000270,32,commonsense,harmlessness,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/ethics_projection/activations/commonsense_test_000270_layer32.npy,3840,last_prompt_token,google/gemma-3-12b-it
